text;author;publishedAt
Coba tanya Toko Emas, terima emas digital? Hayo Berani mereka? 😂;@nikolasoetomo7063;2026-04-07T12:33:22Z
Kalau menurutku lebih ke emas digital harganya tidak bisa dipermainkan,emas digital harganya bisa dipantau setiap saat;@SriWarastri;2026-04-01T06:53:17Z
"Bukan penipuan sih, kan di awasi OJK juga.<br>Beli Emas digital itu hanya dapat NAMA &amp; ANGKA, lu beli berapapun wujudnya ya cuma nama EMAS.<br>Tanpa kita tahu duitnya diperuntukkan untuk apa, entah itu buat bisnis lain, investasi dll.<br>Kita dapatnya ya hanya NAMA &amp; ANGKA !!!<br>Resiko &amp; keuntungan ya ada di penyedia layanan 😊<br><br>Ada yg jawab: kan di awasi otoritas keuangan?...<br>Ya emang penyedia jasa / layanan apapun itu yang diawasi oleh otoritas keuangan tidak ada yang pernah bermasalah gitu😊";@SetyoPras-n7j;2026-03-21T16:09:21Z
Kesini gara2 ada kenal online orang ngajak investasi emas digital dengan modal awal 200 dollar katanya, gimana ka apakah saya harus percaya sama orang ini? Walau saya cuma kenal di online;@zahreyofficial8318;2026-03-17T07:41:45Z
Kalo beli emas digital di app dana apakah aman?;@arisefendi2472;2026-03-15T12:32:48Z
aplikasi tring penipu aku sdh cetak fisik dan sdh transaksi sdh hampir 2 bulan tks ada realisasi nya, penipuan..;@drhasannurhasan3015;2026-03-14T04:27:07Z
Saya nabung emas di aplikasi DANA apakah aman om di aplikasi DANA ?;@Adamchannel1993;2026-03-12T03:59:35Z
Pemula...2026 baru mulai nabung emas digital...lngsung genjot 1gram...😁;@BEJO-um3xg;2026-03-09T11:19:37Z
sya rencana mau nabung 100k/bulan mending di buat nabung emas digital apa invest di bibit ya?;@FuadArpel;2026-03-07T13:53:33Z
beli emas digital di aplikasi dana gimana?;@santai_aja29;2026-03-06T20:28:47Z
Nabung mas digital di dana aman kah ??;@thatagwahyu1819;2026-03-04T18:56:29Z
Ijin berbagi 😅<br>Saya punya pengalaman.<br>Punya bbrp teman yg punya emas ( cincin, kalung bahkan gelang )<br><br>Setiap mereka jual balik, selalu bilang :<br>1.  Kok murah ya harga jualnya.<br>2. Harga jual beda dgn harga global.<br><br>1 lg punya teman, <br>Secara tdk lgsg dia sllu bilang mau ke bank, mau bayar angsuran. Hal ini berlangsung hampir 1 tahun. Dan saya bertanya krn penasaran, bayarin apa sih ? <br><br>Jawabnya sambil menunduk spt malu2, NABUNG EMAS kak😌<br><br>Saya 😳<br>Saya bertanya lebih dalam dan akhirnya paham !!!<br><br>Setelah itu saya lihat cincin 11gr dijari manis saya 🤔🤔🤔🤔;@DailyVlog_sorong;2026-02-22T02:51:24Z
Terimakasih;@indrasukmayadi4116;2026-02-19T10:01:45Z
Ty apakah emas digital itu;@awolprobolinggo-li2yo;2026-02-17T15:43:53Z
Di cina ribuan tertipu dgn emas digital...;@Sofikumbang18;2026-02-14T01:20:28Z
maaf mas mau nanya .kalo kita beli emas digital misal 100 .atau 200 rbu apkh nominal uang yg kita belikan trhdap emas itu akn brkurang krn sdah d ptong dn d sesuaikan dngan harga jual misal beli 200 rb tp d tabunagan emas kita cuma jd 190.000 .ataukah nominal tetap tp akn d potong saat penjualan emas ?;@Iday-j8q;2026-02-11T01:22:49Z
saya nabung emas digital di Kring pegadaian apakah itu aman kak?<br>udah lumayan sii nominal uang kurang lebih 2 jt;@syafiraputri-d5r;2026-02-10T03:59:05Z
2 kata lucu<br>Emas digital;@rotterdam3789;2026-02-08T15:25:27Z
Bukanya KLO belinya lewat brimo, bisa beli dngn nominal 10ribu, dan skian2,,,, ga hrs 5oribu;@TiwukkuclukKucluk;2026-02-08T06:17:56Z
"nabung digital 0.6 gram di th 2020  kemarin waktu mas naik  coba sy cek  hemmm mas saya tiba&quot; tinggal 0.04";@food3089;2026-02-06T20:23:47Z
manfaatkan tring lah dr pegadaian..bs diuangkan klo kita mo jual lg via rekening bank2 himbara;@ashh4bul-aklam;2026-02-06T13:07:15Z
Enak digital sih kita GK bingung nyimpanya dah bingung nenteng ke mana KLO kita bepergian jauh;@dikiwahyudi2107;2026-02-06T07:56:28Z
Tring by pegadaian apakah aman?;@Fanuelv;2026-02-04T07:14:51Z
Barusan jual emas digital ternyata harga jualnya dibawah pasaran, mereka mengambil untung banyak dengan kondisi saat ini, mending pegang emas fisik !;@tangerangboy;2026-02-04T04:43:12Z
Booodoooh... gak usah nabung di digital, tabungan fiktif.<br>Tabunglah di tabungan yg nyata;@g-channel1773;2026-02-02T01:15:52Z
saya liat di aplikasinya klw emas digital ada biaya tambahan untuk cetak emas fisiknya bang...;@miftahulbait;2026-02-01T10:29:35Z
J Pegadaian ini pt penipu dan gk bertanggung jawab, <br>Saya sdh lunas cicilan emas 100 juta lebih ,  tp emasnya gk ada gk sesuai perjanjian lisan atau tulisan, bahkan di tulisan itu emas punya saya yg saya gadaikan ke pegadiaan trus saya tebus pke cicilan, katanya emasnya gk ada dan gk tau kapan datangnya mau 1 bln, 3 bln, 6 bln , 1 taun atau sampek kiamat jg gk tau. Ditanya cs cs wa atau email jg jawabnya gk tau,<br><br>Note 1 : segera tarik uang kalian atau aset apapun itu dr pegadaian jika ada sebelum terlambat<br>Note 2: kalo mau punya emas beli emas di tempat yg jual emas khusus harga seperti di web, jgn cicil atau tabung digital;@PisangGoreng-y5t;2026-01-31T09:45:47Z
Aku pernah, awalnya takut dan khawatir, ternyata real, aku beli nya ragu2 cm 50,100,150,ahirnya terkumpul 1100000,alhamdullah  ada kenaikan, berkembang jd 1500000,untung 500 rb langsung aku jual dalm satu detik uang masuk ke rekening;@yuliapl5350;2026-01-30T11:53:15Z
"<a href=""https://www.youtube.com/watch?v=L4TWcOnUF9E&amp;t=127"">02:07</a> Emas Digital sudah pasti ada angkanya, tetapi Emas Fisik apakah sudah pasti ada barangnya dan dalam bentuk apa dan siapa juga yang mau jagain emas segitu banyak tapi status emas tersebut punya orang??";@tintondwinanda;2026-01-30T04:31:10Z
saran aplikasi yang digunakan untuk investasi mas<br>apakah di NANOVEST bagus?;@rahmattullah3293;2026-01-29T15:22:04Z
Terimakasih;@iwanjedaru;2026-01-29T14:20:22Z
Sya nabung emas digital sejak 2024 smpe skrg udah profit 21jt..😊;@giofurleidaf;2026-01-29T13:49:45Z
alhamdulilah  selama ini fisik dan digital semuanya ada dan Dua2nya untung  bisa bantu saat2 darurat ❤❤❤❤;@nitasari5758;2026-01-29T13:45:39Z
Kalau mau nabung emas di SDB saja.<br>Di Save Deposit Box .<br>Mantap .;@didi6758;2026-01-29T06:11:08Z
yakin kah keamanannya? lihat lah Dana Syariah Indonesia... sudah terdaftar di OJK juga. buntut2nya ternyata sejak awal itu sudah skema Ponzi... OJK tetap saja tidak bertanggung jawab. bohong semua.;@puteracahyadi;2026-01-29T06:07:33Z
Harga emas sekarang naik derastis hampir 3jt <br>Kalo saya beli sekarang mungkin nggak ya kedepanya harganya anjlok lagi?;@Joeirwan7;2026-01-28T14:59:12Z
Sama² punya kelebihan dan kekurangan masing²;@Suadi_Phang;2026-01-28T01:12:39Z
Dana aman kan bg;@nor_ax8414;2026-01-27T03:38:53Z
Kalo nabung emas di shopee aman gx bang;@tilemotovlog3194;2026-01-27T03:22:54Z
Klo terjadi rush atau penarikan besar²an sekaligus, kuatir emas fisik tidak tersedia. Bank aja dibegituin bisa bleeding, padahal itu tempat menyimpan uang;@armanz.s1032;2026-01-27T03:08:16Z
Kalau Akun Dana Gmn aman Tidak;@Freerapah;2026-01-26T15:36:03Z
Beli emas digital, sama artinya kita beli angin, membayar tapi tidak bisa lihat pisiknya.;@suwardi3248;2026-01-26T15:23:08Z
"Walau ini berita lama tapi saya belum yakin keamananya.<br>Sesuatu yg pemerintah punya aja bisa berantakan , apalagi ini .<br>Contohnya asuransi jiwa sraya , sekarang gak tahu kabarnya.<br>Ini memang beda , tapi ketika nanti terjadi masalah dan akirnya bubar , nasabah tentu dlm posisi lemah.<br>Hal serupa juga terjadi pada pencairan BPJS.<br>Kemarin ada ibu&quot; yg bingung ketika kartu , pakelaring hilang dan perusahaan tempat bekerja tutup.<br>Kata petugas bpjs gak bisa diurus , sudah diambil....katanya. Membuat si ibu semakin bingung dan akirnya pindah kantor bpjs untuk tetap mencari .<br>Tapi ada juga yg kasih informasi bahwa walau punya banyak no bpjs karena pindah2 kerja...nanti bisa dicek dan disatukan kemudian dicairkan jadi 1.<br>Itulah fakta , selalu ada keruwetan.";@tukijan4047;2026-01-25T23:41:57Z
emas digital apa itu? mksh;@sriindriyati-h6s9u;2026-01-24T07:41:43Z
Sy,buat tabungan mas di pegadaian sy coba semua kemudahan spt jual butuh tunai dbyr sesuai hrg emas saat terkini nya,;@TabAdelapanlite-tw3sh;2026-01-23T10:52:58Z
laku emas aman gk;@arcondroagusty1034;2026-01-21T00:33:19Z
